name;2030EU;amount;bus;carrier;profile;type
AT-electricity-load;77174.48866176241;77174488.66176242;AT-electricity;electricity;AT-electricity-load-profile;load
BE-electricity-load;95903.21434974286;95903214.34974286;BE-electricity;electricity;BE-electricity-load-profile;load
CH-electricity-load;72153.28956257533;72153289.56257533;CH-electricity;electricity;CH-electricity-load-profile;load
CZ-electricity-load;71470.97556488209;71470975.56488208;CZ-electricity;electricity;CZ-electricity-load-profile;load
DE-electricity-load;576235.4773316721;576235477.3316721;DE-electricity;electricity;DE-electricity-load-profile;load
DK-electricity-load;39297.47847073997;39297478.47073997;DK-electricity;electricity;DK-electricity-load-profile;load
FR-electricity-load;500749.88284577883;500749882.8457788;FR-electricity;electricity;FR-electricity-load-profile;load
NO-electricity-load;152258.10151486978;152258101.51486978;NO-electricity;electricity;NO-electricity-load-profile;load
PL-electricity-load;185088.36462456558;185088364.62456557;PL-electricity;electricity;PL-electricity-load-profile;load
SE-electricity-load;160100.33067326972;160100330.67326972;SE-electricity;electricity;SE-electricity-load-profile;load
